,country,year,is_female,age,suicides_no,population,suicides/100kpopulation,gdp_for_year,gdp_per_capita,generation
0,Albania,1987,False,1,21.0,312900,6.71,2156624900.0,796.0,Generation X
1,Albania,1987,False,3,16.0,308000,5.19,2156624900.0,796.0,Silent
2,Albania,1987,True,1,14.0,289700,4.83,2156624900.0,796.0,Generation X
3,Albania,1987,False,5,1.0,21800,4.59,2156624900.0,796.0,G.I. Generation
4,Albania,1987,False,2,9.0,274300,3.28,2156624900.0,796.0,Boomers
5,Albania,1987,True,5,1.0,35600,2.81,2156624900.0,796.0,G.I. Generation
6,Albania,1987,True,3,6.0,278800,2.15,2156624900.0,796.0,Silent
7,Albania,1987,True,2,4.0,257200,1.56,2156624900.0,796.0,Boomers
8,Albania,1987,False,4,1.0,137500,0.73,2156624900.0,796.0,G.I. Generation
9,Albania,1987,True,0,0.0,311000,0.0,2156624900.0,796.0,Generation X
10,Albania,1987,True,4,0.0,144600,0.0,2156624900.0,796.0,G.I. Generation
11,Albania,1987,False,0,0.0,338200,0.0,2156624900.0,796.0,Generation X
12,Albania,1988,True,5,2.0,36400,5.49,2126000000.0,769.0,G.I. Generation
13,Albania,1988,False,1,17.0,319200,5.33,2126000000.0,769.0,Generation X
14,Albania,1988,False,5,1.0,22300,4.48,2126000000.0,769.0,G.I. Generation
15,Albania,1988,False,3,14.0,314100,4.46,2126000000.0,769.0,Silent
16,Albania,1988,False,4,4.0,140200,2.85,2126000000.0,769.0,G.I. Generation
17,Albania,1988,True,1,8.0,295600,2.71,2126000000.0,769.0,Generation X
18,Albania,1988,True,4,3.0,147500,2.03,2126000000.0,769.0,G.I. Generation
19,Albania,1988,True,2,5.0,262400,1.91,2126000000.0,769.0,Boomers
20,Albania,1988,False,2,5.0,279900,1.79,2126000000.0,769.0,Boomers
21,Albania,1988,True,3,4.0,284500,1.41,2126000000.0,769.0,Silent
22,Albania,1988,True,0,0.0,317200,0.0,2126000000.0,769.0,Generation X
23,Albania,1988,False,0,0.0,345000,0.0,2126000000.0,769.0,Generation X
24,Albania,1989,False,5,2.0,22500,8.89,2335124988.0,833.0,G.I. Generation
